text,Food,Phenotype,label
"Arginine can contribute to the maintenance of the healthy blood circulation.
Clarification provided
Arginine can contribute to the maintenance of the healthy blood circulation.
Arginine can contribute to the maintance of the normal blood circulation, such as the healthy blood pressure and the haematopoiesis.",L-Arginine,Maintenance of normal blood pressure,0
"Arginine can contribute to the maintenance of the healthy blood circulation.
Clarification provided
Arginine can contribute to the maintenance of the healthy blood circulation.
Arginine can contribute to the maintance of the normal blood circulation, such as the healthy blood pressure and the haematopoiesis.",L-Arginine,Normal red blood cell formation,0
As a strong antioxidant it protects the body’s cells from the damage caused by free radicals,Superoxide dismutase,"protection of DNA, proteins and lipids from oxidative damage",2
"As part of a low fat diet, mycoprotein helps maintain normal cholesterol levels that keep your heart healthy",Mycoprotein,maintenance of normal blood LDL-cholesterol concentrations,0
"Astaxanthin främjar en god magfunktion.#C
Astaxanthin improves stomach comfort.#C
Clarification provided
Astaxanthin improves stomach comfort.#C",Naturligt astaxanthin från den encelliga grönalgen Haematococcus pluvialis,defence against Helicobacter pylori,1
"BCAAs increase protein synthesis, a vital part of the muscle-building process
BCAAs support muscle growth",Branched-chain amino acids,growth or maintenance of muscle mass,1
Banana is a major dietary source of antioxidants Antioxidants from dietary sources contribute to the protection against free radicals which cause cell damage Contributes to the protection of cells and tissues from oxidative damage Help strengthen our body's natural defences against oxidative stress,Banana,"Protection of DNA, proteins and lipids from oxidative damage",2
"Before and during exercise increase endurance capacity / time to exhaustion / delays fatigue. Provide carbohydrate to muscles to supplement glycogen stores. Ingestion before and during exercise maintains blood glucose. Maintain skills during prolonged exercise Can help improve sprint / jump performance Gives athletes a performance edge During exercise maintains endurance performance / perform for longer. Provides carbohydrate, fluid and electrolytes to maintain hydration and enhances performance during prolonged intermittent exercise. Helps improve performance / a sprint finish at the towards the end of endurance events. Can improve performance even in events lasting less than 1 hour. Endurance performance becomes impaired when dehydration exceeds 2% of body mass",Carbohydrate electrolyte drinks,reduction in the rated perceived exertion/effort during exercise,1
"Beta-alanine helps enhance total work performed in high intensity training.
Beta-alanine helps support anaerobic training volume.
Beta-alanine helps enhance anaerobic workout intensity and work volume in explosive training movements.",Beta Alanine,increase in time to exhaustion,1
"Beta-alanine increases time-to-exhaustion to help keep you going longer.
Delays muscle fatigue.",Beta Alanine,increase in time to exhaustion,1
Beta-alanine supplementation Increases muscle carnosine stores.,Beta-alanine,increase in muscle carnosine stores,1
Beta-alanine supplementation improves cycling performance,Beta-alanine,increase in physical performance during short-term high-intensity exercise,1
Beta-alanine supplementation improves exercise performance.,Beta-alanine,increase in physical performance during short-term high-intensity exercise,1
Beta-alanine supplementation improves muscle work capacity.,Beta-alanine,increase in time to exhaustion,1
Beta-alanine supplementation increases carnosine stores in fast twitch muscle fibres.,Beta-alanine,increase in muscle carnosine stores,1
Beta-alanine supplementation increases muscle buffering capacity.,Beta-alanine,increase in physical performance during short-term high-intensity exercise,1
Beta-alanine supplementation increases muscle buffering capacity.,Beta-alanine,increase in time to exhaustion,1
Beta-alanine supplementation reduces muscle fatigue.,Beta-alanine,increase in time to exhaustion,1
"Bifidobacterium cultures enhances natural immune function, helps maintain blood cholesterol",Bifidobacterium (BB12) fortified cultured milk (Hodzeko-Amasi),Maintenance of normal blood LDL-cholesterol concentrations,1
"Bifidobacterium cultures enhances natural immune function,reduces symptoms of inflammatory bowel conditions",Bifidobacterium (BB12) fortified cultured milk (Hodzeko-Amasi),Reduction of symptoms of inflammatory bowel conditions,1
Bifidobacterium cultures enhances natural immune function.,Bifidobacterium (BB12) fortified cultured milk (Hodzeko-Amasi),“Natural immune function”,1
"Blackcurrant seed oil increases HDL cholesterol levels.
Blackcurrant seed oil reduces LDL cholesterol levels.
Blackcurrant seed oil improves the HDL/LDL ratio.
Blackcurrant seed oil supports cardiovascular health by regulating fat metabolism and blood pressure.",Blackcurrant seed oil (carbon dioxide extracted) + vitamin E.,maintenance of normal blood LDL-cholesterol concentrations,1
"Blackcurrant seed oil increases HDL cholesterol levels.
Blackcurrant seed oil reduces LDL cholesterol levels.
Blackcurrant seed oil improves the HDL/LDL ratio.
Blackcurrant seed oil supports cardiovascular health by regulating fat metabolism and blood pressure.",Blackcurrant seed oil (carbon dioxide extracted) + vitamin E.,maintenance of normal blood pressure,1
"Blackcurrant seed oil regulates the immune response.
Blackcurrant seed oil maintains and supports the body’s normal defence system.",Blackcurrant seed oil (carbon dioxide extracted) + vitamin E.,“Immune function/immune system”,0
"Blackcurrent juice helps to:
- improve the urinary tract immune function.
- support the normal functionning of the urinary tract.",Black Currant juice,“Maintenance of urinary tract”,0
"Blend of ingredients clinically shown to help enhance creatine uptake into muscle
University tests show that a blend of creatine and high-glycemic carbohydrate promotes creatine uptake and storage in muscle tissue","Creatine plus Carbohydrate (dextrose, sugar)",Increase in muscle creatine stores,1
Boron is important for the normal structure of bone.,Boron,maintenance of bone,0
"Brings energy / Stimulates the psychical activity and improves the capacity of the intellectual effort. / Increases intracellular energetic mechanisms. / Helps in periods of convalescence. / Brings energy in periods of prolonged physical and intellectual effort, in acute or chronic fatigue. / Prevents fatigue and sustains the organism's effort in periods of stress. / Reduces the incidence of neoplasic diseases. / Interferes in all metabolic chains, activating them. / Improves the quality of the life of the persons with cardiac diseases. / Increases the resistance to effort and reduces the frequency and intensity of the cardiac ache.",Coenzyme Q10,contribution to normal energy-yielding metabolism,1
Broccoli sprouts contain SGS (Sulphoraphane glucosinolate) which enhances anti-oxidant activity and boosts the elimination of free radicals.,Sulphoraphane Glucosinolate,"Protection of DNA, proteins and lipids from oxidative damage",1
"Caffeine can increase resting metabolic rate.
Caffeine supports thermogenesis and energy oxidation.",Caffeine,Increased energy expenditure leading to a reduction in body weight,1
Calcium contributes to normal functioning of cells.,Calcium,&quot;cell membrane permeability&quot;,0
"Can accelerate recovery from exercise can help to recover faster
can shorten the time to recover completely
can help to enhance endurance performance
can help to perform longer
can support endurance performance
can increase;endurance performance
can increase time to fatigue;during exercise
can help to enhance physical;performance
can help to perform better
can support;physical performance
can help to increase physical performance
can help to reduce exercise induced muscle damage
can help to reduce exercise induced muscle pain
can protect muscle during exercise",Casein protein hydrolysate,increase in endurance performance,1
"Can accelerate recovery from exercise can help to recover faster
can shorten the time to recover completely
can help to enhance endurance performance
can help to perform longer
can support endurance performance
can increase;endurance performance
can increase time to fatigue;during exercise
can help to enhance physical;performance
can help to perform better
can support;physical performance
can help to increase physical performance
can help to reduce exercise induced muscle damage
can help to reduce exercise induced muscle pain
can protect muscle during exercise",Casein protein hydrolysate,faster recovery from muscle fatigue after exercise,1
Can contribute to maintain normal blood pressure,Coenzyme Q10;ubiquinone,maintenance of normal blood pressure,0
Can contribute to the maintenance of prostate health; Can contribute to the maintenance of the healthy function of prostate.,Tomato extract containing lycopene,"protection of DNA, proteins and lipids from oxidative damage",0
Can contribute to the maintenance of skin health when exposed to sun.; Can help in the maintenance of healthy structure of the skin;,Tomato extract containing lycopene,protection of the skin from UV-induced (including photo-oxidative) damage,0
Can help in the maintenance of the healthy function of the cardiovascular system.,Tomato extract containing lycopene,contribution to normal cardiac function,0
Can help to maintain a normal bowel function as part of a healthy lifestyle,Isomalto-oligosaccharides,increase in the frequency of daily bowel movements,0
"Can increase L-Carnitine levels during pregnancy and lactation.
Can help decrease free fatty acids during pregnancy.
Can maintain normal L-Carnitine plasma levels during pregnancy.",Carnitine,increasing L-carnitine concentrations and/or decreasing free fatty acids in blood during pregnancy,1
"Chlorogenic acids from coffee extract contributes to keep normal blood glucose levels;
Chlorogenic acids from coffee extract has a beneficial effect on glucose metabolism/ insulin metabolism.",Chlorogenic acids from Coffee,maintenance of normal blood glucose concentrations,0
"Choline supports normal neurological functioning.
Choline supports nerve impulse transmission.
Choline supports cognitive functioning.
Choline helps maintain memory and brain function.",Choline,Contribution to normal cognitive function,0
"Choline supports normal neurological functioning.
Choline supports nerve impulse transmission.
Choline supports cognitive functioning.
Choline helps maintain memory and brain function.",Choline,Maintenance of normal neurological function,0
"ClarinolTM is a unique source of the active form of CLA (conjugated linolenic acid) that reduces the body fat without reducing muscle mass, it reduces subcutaneous fat and the excess weight is gone for good. ClarinolTM prevents fat redeposition (anti yoyo efect). ClarinolTM influences the metabolism speed increase and suppresses its decline particularly at night.",ClarinolTM,contribution to the maintenance or achievement of a normal body weight,1
Coenzyme Q10 may enhance the physical endurance.;Coenzyme Q10 may enhance sport performance in those who have reduced performance but are free from organic lesions,Coenzyme Q10;(Ubiquinone),increase in endurance capacity and/or endurance performance,1
Collagen can/could contribute to the maintenance of the healthy function of joints.,Collagen,maintenance of normal joints,0
"Collagen is a natural component of the skin.
Helps the skin to preserve its firmness and elasticity.
Has beneficial effect in the maintenance of skin firmness and elasticity.",Collagen,Maintenance of structure and elasticity of the skin,0
"Combat la formation des radicaux libres
Protection cellulaire active
Nourrit et protège la peau
Protège la peau des agressions extérieures
Active et prolonge le bronzage
Clarification provided
Helps to keep the skin healthy/helps to retard skin aging
Helps to protect your skin from excessive UV-radiation and sunburns
Can promote healthy skin pigmentation and tanning
Antioxidant that protects the body's cells/Has an antioxidant action that helps to neutralize free radicals and counteracts cellular ageing",Carotte racine,"protection of DNA, proteins and lipids from oxidative damage",2
"Combined creatine and carbohydrate increases muscle creatine stores compared to creatine alone.
Helps deliver creatine to the muscle effectively.
Creatine retention is increased when consumed with carbohydrate.",Creatine and carbohydrate,Increase in muscle creatine stores,1
"Con proteina concentrata di fagiolo che AIUTA A DIMAGRIRE.
Clarification provided
With concentrated bean proteins, which contributes to weight reduction.",Phaseolamine (proteina concentrata di fagiolo Phaseolus vulgaris),reduction in body weight,2
"Conditionally-essential amino acid that plays an important role in the growth and immune system.
It supports tissue growth acceleration.",Arginine,“Immune system functions”,2
"Consumption before and during exercise enhances feelings of energetic arousal which may impact on task persistence and performance
Reduces the perception of athletic fatigue
Helps maintain alertness / mood
Helps reduce the perception of effort, making you feel better during exercise
A high carbohydrate diet helps to reduce feelings of fatigue / perceived effort during prolonged exercise",Carbohydrate foods and beverages,reduction in the rated perceived exertion/effort during exercise,1
"Consumption before and during exercise enhances feelings of energetic arousal which may impact on task persistence and performance Helps reduce the perception of effort, making you feel better during exercise Reduces the perception of athletic fatigue. Helps maintain alertness during later stages of exercise Helps improve readiness/ motivation Helps enhance feelings of pleasure",Carbohydrate electrolyte drinks,reduction in the rated perceived exertion/effort during exercise,1
"Consumption of Medium Chain Triglycerides (MCT) inside the normal suggested fat consumption contributes to keep the healthy balanced body weight and helps to avoid fat deposition, with special regards to the abdominal fat.;;MCT helps to increase energy expenditure in comparison to the long chain fatty acides by increasing the metabolic rate.",Medium Chain Triglycerides;;MCT;,reduction in body weight,1
Consumption of whey in conjunction with resistance exercise supports an increase in lean body mass and strength.,Whey Prot*omegaein,growth or maintenance of muscle mass,1
Consumption of whey in conjunction with resistance exercise supports an increase in lean body mass and strength.,Whey Prot*omegaein,increase in muscle strength,1
"Contains antioxidant/s; Is a source of antioxdiant/s. With antioxidant/s. Contributes to the cell protection against free radicals 
Can protect your cells and tissues from oxidation Can contribute to the total antioxidant capacity of the body",Lycium Barbarum (Common Name : Wolfberry),"Protection of DNA, proteins and lipids from oxidative damage",2
"Contains chlorophyll, a natural anti-oxidant giving enhanced defence against free radicals.",Chlorophyll in sprouted seed,"Protection of DNA, proteins and lipids from oxidative damage",1
"Contains naturally occurring antioxidants /for cells protection/helps protect cells from free radical damage, Lycopene is an antioxidant and helps to maintain intact cell DNA, it contributes to healthy ageing, by maintaining intact cell DNA","Standardized tomato extract [Oleoresin extracted from ripe fruits of Licopersicum aesculentum, solvent of extraction Ethyl acetate, 5% lycopene","protection of DNA, proteins and lipids from oxidative damage",2
"Contribue à stimuler l'activité intellectuelle et à renforcer la mémoire. A utiliser en cas d'efforts intellectuels.
Favorise les facultés de concentration.
Clarification provided
May improve memory/may improve cognitive performance/ phospholipids play a role in healthy brain functions/supports memory and concentration/increase concentration and make the memory more effective.",Laitance de poisson,contribution to normal cognitive function,1
"Contribue à un bon cholestérol. Aide à maîtriser le cholesterol.
Clarification provided
Oyster shells are rich source of calcium that contributes to healthy blood cholesterol level/ Oyster shells are a rich source of calcium that helps to maintain normal cholesterol level/Oyster shells are a rich source of calcium that decreases LDL cholesterol and increase HDL cholesterol.",Coquille d'huître,maintenance of normal blood HDL-cholesterol concentrations,1
"Contribue à un bon cholestérol. Aide à maîtriser le cholesterol.
Clarification provided
Oyster shells are rich source of calcium that contributes to healthy blood cholesterol level/ Oyster shells are a rich source of calcium that helps to maintain normal cholesterol level/Oyster shells are a rich source of calcium that decreases LDL cholesterol and increase HDL cholesterol.",Coquille d'huître,maintenance of normal blood LDL-cholesterol concentrations,1
"Contribue à un bon cholestérol. Aide à maîtriser le cholesterol.
Clarification provided
Oyster shells are rich source of calcium that contributes to healthy blood cholesterol level/ Oyster shells are a rich source of calcium that helps to maintain normal cholesterol level/Oyster shells are a rich source of calcium that decreases LDL cholesterol and increase HDL cholesterol.",Coquille d'huître,maintenance of normal blood HDL-cholesterol concentrations,1
"Contribue à un bon cholestérol. Aide à maîtriser le cholesterol.
Clarification provided
Oyster shells are rich source of calcium that contributes to healthy blood cholesterol level/ Oyster shells are a rich source of calcium that helps to maintain normal cholesterol level/Oyster shells are a rich source of calcium that decreases LDL cholesterol and increase HDL cholesterol.",Coquille d'huître,maintenance of normal blood LDL-cholesterol concentrations,1
Contribute to a normal intestinal fonction through promotion of beneficial microflora/helps to manage diarrhea episodes/has an anti-diarrheal effect through anti-microbial activity on pathogenic intestinal bacteria.,Brewer's yeast (Saccharomyces cerevisae),reduction of gastro-intestinal discomfort,0
"Contributes to cell protection form the damage caused by free radical, due to its antioxidant properties. Helps to protect the body against free radicals. Provides antioxidant protection. Protects the body's cells. Can protect you from radicals which cause cell damage. Can protect your cells and tissues from oxidative damage. Can contribute to the total antioxidant capacity of the body.",Purslane (Portulaca oleracea L.),"Protection of DNA, proteins and lipids from oxidative damage",2
Contributes to enhance your body's resistance;,Triticum sativum,“contribution to body defences against external agents”,1
"Contributes to maintenance of healthy skin, joints and bone.
-Contributes to maintenance of strong hairs and nails.
-Contributes to the structure of blood vessels.
-Supports mobility and flexibility by contribution to the structure of articular cartilage",Monométhylsilanetriol: other substance with nutritionnal or physiological effects,maintenance of normal bone,0
"Contributes to maintenance of healthy skin, joints and bone.
-Contributes to maintenance of strong hairs and nails.
-Contributes to the structure of blood vessels.
-Supports mobility and flexibility by contribution to the structure of articular cartilage",Monométhylsilanetriol: other substance with nutritionnal or physiological effects,contribution to normal formation of collagen and connective tissue,0
"Contributes to maintenance of healthy skin, joints and bone.
-Contributes to maintenance of strong hairs and nails.
-Contributes to the structure of blood vessels.
-Supports mobility and flexibility by contribution to the structure of articular cartilage",Monométhylsilanetriol: other substance with nutritionnal or physiological effects,maintenance of normal joints,0
"Contributes to management of weight control
-can help in the reduction of body weight
-can help to the control of weight by reducing the quantity of fat absorbed from the diet",Chitosan,reduction in body weight,2
Contributes to normal functioning of prostate and urinary tract,"Phytosterols (mixture of Beta-sitosterol, Campesterol, Stigmasterol, Brassicasterol, Stigmastanol, Ergostanol, Campestanol)",maintenance of normal prostate size and normal urination,0
Contributes to normal functioning of urinary tract,"Phytosterols (mixture of Beta-sitosterol, Campesterol, Stigmasterol, Brassicasterol, Stigmastanol, Ergostanol, Campestanol)",maintenance of normal prostate size and normal urination,0
Contributes to normal hair growth,Cystine (wheat extract),maintenance of normal hair,0
Contributes to normal urinary elimination functions,Lycopodium clavatum,"“Kidneys health”, “urinary health”, “bladder health”, “health of lower urinary tract”, “blood health”, “elimination”, &quot;urinary system benefits&quot; and/or “supports/promotes the excretory function of the kidney”",0
"Contributes to the maintenance of a healthy cardiovascular system.
Maintains cardiovascular health",Tomato extract containing lycopene,"protection of DNA, proteins and lipids from oxidative damage",0
Contributes to the maintenance of healthy skin when exposed to sun light. (Avoid sunburns by using an effective sun screen. Lycopene is not a replacement for sun screens).,Lycopene,protection of the skin from UV-induced (including photo-oxidative) damage,0
"Contributes to the mobilisation of fat stores.
Contributes ton the stimulation of fat release.
Helps to increase fat burning.
Contributes to the oxidation of stored fats.
Helps generate a negative energy balance.
Contributes to increased calorie burning.",Caffeine (from tea/coffee/chocolate or added in pure form),increased fat oxidation leading to a reduction in body fat mass,1
"Contributes to the normal functioning of the immune system.
Helps maintain the body's natural defences",Bromelain,Stimulation of immunological responses,0
Contributes to the normal functioning of the immune system/supports natural defences,Nucleotides,immune defence against pathogens,0
Contributes to the normal functioning of the prostate/helps to maintain a healthy prostate/helps to keep your prostate in shape/helps to reduce oxidative damage of prostate cells and tissue/helps to maintain intact DNA in prostate tissue,Lycopene,"protection of DNA, proteins and lipids from oxidative damage",0
Contributes to the normal functioning of the veins.,Troxerutin,maintenance of elasticity and strength of the venous walls,0
Could contribute to the maintenance of the health of epidermic and connective tissue.,Gamma- linolenic acid;GLA,Maintenance of the barrier function of the skin,0
Creatine can help enhance physical working capacity at fatigue threshold,Creatine,increase in endurance capacity,1
Decreases lipid levels / Function in regulation of lipid metabolism / Reduces lipids and LDL-cholesterol levels,Omega 3-Fatty acids containing eicosapentaenoic acid-EPA and docosahexaenoic acid (DHA),maintenance of normal blood LDL-cholesterol concentrations,1
"Delay onset of fatigue.
Improves short-duration high intensity performance with lactic acid buffer.
Increases muscle carnosine, the intracellular buffering agent proposed to be responsible for the beneficial effects on short-duration high intensity exercise.",Beta Alanine,increase in physical performance during short-term high-intensity exercise,1
Dietary fibre helps to maintain normal blood lipid levels and a healthy cardiovascular system,Dietary fibre,maintenance of normal blood cholesterol concentrations,0
"Dietary nucleotides are conditionally essential nutrients that provide building blocks for new cells.
Dietary nucleotides:
- promote general wellbeing [and/or]
- enhance the body’s immunity [and/or]
- help promote normal/proper digestive/intestinal function",Nucleotides,immune defence against pathogens,1
Dietary nucleotides enhance immune system function following exercise stress,Nucleotides,“immune function/immune system”,1
"Due to its antioxidant activity, resveratrol contributes to cell protection from the damage caused by free radicals. 
Provides antioxidant protection. Helps to scavenge free radicals which are responsible for skin aging. Helps to fight against skin aging thanks to its antioxidant activity.",Resveratrol,"Protection of DNA, proteins and lipids from oxidative damage",2
"Due to the antioxidant properties lutein/ zeaxanthin/ contributes to the hindrance of harmful oxidative processes in the body, in this way to the maintenance of our health/ to the defence of the tissues.",Lutein/;Zeaxanthin,"protection of DNA, proteins and lipids from oxidative damage",0
"EAS Phosphagen Elite is clinically shown to boost muscular strength
EAS Phosphagen Elite is clinically shown to increase strength by up to 15%
EAS Phosphagen Elite is designed to boost overall muscular strength
Boost muscular strength",EAS Phosphagen Elite,growth or maintenance of muscle mass,1
"EAS Phosphagen Elite is clinically shown to increase anaerobic threshold EAS Phosphagen Elite is clinically shown to increase physical
working capacity at fatigue threshold",EAS Phosphagen Elite,Increase in endurance capacity,1
"EAS Phosphagen Elite is designed to provide a higher quality workout,
and the addition of beta alanine appears to enhance average training
volume more so than creatine alone
EAS Phosphagen Elite is clinically shown to result in greater training volume threshold",EAS Phosphagen Elite,Increase in endurance capacity,1
"EAS Phosphagen Elite is designed to provide a higher quality workout,
and the addition of beta alanine appears to enhance average training
volume more so than creatine alone
EAS Phosphagen Elite is clinically shown to result in greater training volume threshold",EAS Phosphagen Elite,increase in endurance performance,1
"EAS Phosphagen HP is clinically shown to increase strength
EAS Phosphagen HP is clinically shown to boost muscular strength
EAS Phosphagen HP is designed to boost overall muscular strength",EAS Phosphagen HP,growth or maintenance of muscle mass,1
Eating a diet high in fiber can help control postprandial glucose levels and serum lipid profiles and promote healthy triglyceride levels Dietary fiber helps improve glycemic control so you maintain normal blood sugar and insulin levels essential for good health PHGG helps to regulate plasma glucose levels and glycemic index of the foods after meals.,Partially Hydrolysed Guar Gum (PHGG),Reduction of post-prandial glycaemic response,0
Enhances resistance and stimulates the growth of hair and nails. / Hair and nails revitalizing agent,L/cysteine,contribution to normal collagen formation,1
Enhances resistance and stimulates the growth of hair and nails. / Hair and nails revitalizing agent,L/cysteine,maintenance of normal hair,1
Enhances resistance and stimulates the growth of hair and nails. / Hair and nails revitalizing agent,L/cysteine,maintenance of normal nails,1
"Ensures normal functioning of the body’s organ tissues and systems, particularly in old age - Stimulates physical work capacities - Recommended in case of intense fatigue and during recovery",Biotin,reduction of tiredness and fatigue,0
"Essential amino acid, needed for the synthesis of proteins necessary for maintenance of the body/ body tissues (collagen, teeth, bones and muscles)/ body function.
Increases absorption, action and fixation of calcium, essential for optimal muscle, bone and teeth.",Lysine,Contribution to normal protein synthesis,1
"Essential amino acid, needed for the synthesis of proteins necessary for maintenance of the body/ body tissues (collagen, teeth, bones and muscles)/ body function.
Increases absorption, action and fixation of calcium, essential for optimal muscle, bone and teeth.",Lysine,Increase in calcium absorption leading to an increase in calcium retention,1
"Essential for the natural formation of dopamine, required for normal muscle function and contraction",L-tyrosine,contribution to normal muscle function,0
"Exact wording of claim as it appears on product: Blueberries have a wide range of health benefits including anti-ageing properties and the maintenance of urinary tract and vision health.
Is claim a picture: No.","Name of Food product: Sqeez Wild Blueberry Juice Drink

Description of food in terms of food legislation categories: food not covered by specific food legislation

Was food on Irish market before 1st July 2007: Yes",“Anti- aging properties”,0
"Exact wording of claim as it appears on product: Blueberries have a wide range of health benefits including anti-ageing properties and the maintenance of urinary tract and vision health.
Is claim a picture: No.","Name of Food product: Sqeez Wild Blurberry Juice Drink

Description of food in terms of food legislation categories: food not covered by specific food legislation

Was food on Irish market before 1st July 2007: Yes",“Maintenance of urinary tract”,0
"Exact wording of claim as it appears on product: Enhances natural resistance.
Strengthen your immunity.
Is claim a picture: No.","Name of Food product: fermented dairy products

Description of food in terms of food legislation categories: food not covered by specific food legislation

Was food on Irish market before 1st July 2007: Yes",“Immune function/immune system”,1
"Exact wording of claim as it appears on product: Helps manage blood glucose and insulin levels.
Examples of any alternative wording that may be used in relation to claim: Reduces heightened glycaemic index/Blunts glucose and insuin elevation/Reduces the glycaemic load of a meal/Helps maintain a normal blood glucose level as part of a healthy lifestyle/Contributes to normal blood glucose levels as part of a healthy lifestyle/Contributes to normal glucose/insulin metabolism/Helps control blood glucose levels/Supports maintenance of normal glucose levels.
Is claim a picture: No.","Name of Food product: Product-specific claim: Sodium alginate and ascophyllum nodosum

Description of food in terms of food legislation categories: food not covered by specific food legislation

Was food on Irish market before 1st July 2007: No",reduction of post-prandial glycaemic responses,1
"Exact wording of claim as it appears on product: Helps manage blood glucose levels.
Examples of any alternative wording that may be used in relation to claim: Reduces heightened glycaemic index/Blunts glucose elevation/Reduces glycaemic load of a meal/Helps maintain a normal blood glucose level as part of a healthly lifestyle/Contributes to normal glucose metabolism/Helps control blood glucose levels/Supports maintenance of normal glucose levels.","Name of Food product: Product-specific claim: Sodium alginate and ascophyllum nodosum

Description of food in terms of food legislation categories: food not covered by specific food legislation

Was food on Irish market before 1st July 2007: No",reduction of post-prandial glycaemic responses,1
"Exact wording of claim as it appears on product: Methylsulpony/methane (MSM) helps in the maintenance of normal keratin levels in hair, skin and nails. Examples of any alternative wording that may be used in relation to claim: Methylsulpony/methane (MSM) helps in the maintenance of normal keratin levels in hair, skin and nails. Help keep your hair nails and skin healthy and strong. Is claim a picture: No","Name of Food product: methylsulpony/methane (MSM)

Description of food in terms of food legislation categories: Food supplement

Was food on Irish market before 1st July 2007: No",contribution to normal collagen formation,0
"Exact wording of claim as it appears on product: Methylsulpony/methane (MSM) helps in the maintenance of normal keratin levels in hair, skin and nails. Examples of any alternative wording that may be used in relation to claim: Methylsulpony/methane (MSM) helps in the maintenance of normal keratin levels in hair, skin and nails. Help keep your hair nails and skin healthy and strong. Is claim a picture: No","Name of Food product: methylsulpony/methane (MSM)

Description of food in terms of food legislation categories: Food supplement

Was food on Irish market before 1st July 2007: No",maintenance of normal hair,0
"Exact wording of claim as it appears on product: Methylsulpony/methane (MSM) helps in the maintenance of normal keratin levels in hair, skin and nails. Examples of any alternative wording that may be used in relation to claim: Methylsulpony/methane (MSM) helps in the maintenance of normal keratin levels in hair, skin and nails. Help keep your hair nails and skin healthy and strong. Is claim a picture: No","Name of Food product: methylsulpony/methane (MSM)

Description of food in terms of food legislation categories: Food supplement

Was food on Irish market before 1st July 2007: No",maintenance of normal nails,0
"Exact wording of claim as it appears on product: Splenda can help with slimming as part of a calorie controlled diet.
Splenda is also suitable for those following a low carbohydrate diet. In France, 'peut contributer a une reduction de l'apport calorique quotidien'
Examples of any alternative wording that may be used in relation to claim: Splenda low calorie sweetener can help to maintain a healthy body weight as part of a calorie-controlled diet. Splenda low calorie sweetener helps to control calorie intake as part of a calorie controlled diet.
Is claim a picture: No",Name of Food product: Low Calorie Sweetener / Table-top Sweetener (Granular & tablets - sucralose based) Description of food in terms of food legislation categories: food not covered by specific food legislation Was food on Irish market before 1st July 20,contribution to the maintenance or achievement of a normal body weight,2
Exact wording of claim as it appears on product: Supports body detoxification Examples of any alternative wording that may be used in relation to claim: Rids toxins from the body/Aids colonic health/Protects the colon/Cleanses the body/Helps maintain a healthy colon/Promotes healthy conditions in the colon/Detoxes the body Is claim a picture: No,"Name of Food product: Product-specific claim: sodium alginate, n-acetyl cysteine and piperine

Description of food in terms of food legislation categories: food not covered by specific food legislation

Was food on Irish market before 1st July 2007: No",elimination of heavy metals,2
Exact wording of claim as it appears on product: Triphala is a source of antioxidant Examples of any alternative wording that may be used in relation to claim: Has antioxidant activies/ has antioxidant activity/ protection from free radicals which cause cell damage/protects cells and tissues from oxidative damage/helps strengthen the bodys natural defenses against oxidative stress/protective effects due to antioxidant/ contributes to the total antioxidant capacity of the body/ helps prevent oxidative damage/Helps reduce oxidative stress Is claim a picture: No,"Name of Food product: Triphala

Description of food in terms of food legislation categories: Food supplement

Was food on Irish market before 1st July 2007: No","Protection of DNA, proteins and lipids from oxidative damage",2
"Exact wording of claim as it appears on product: gelatin, cystine significantly strengthens hair, skin and nails
Examples of any alternative wording that may be used in relation to claim: Gelatin and cystine significantly increases hair diameter and the degree of hardness of finger and toe nails.","Name of Food product: gelatin & cystine

Description of food in terms of food legislation categories: Food supplement

Was food on Irish market before 1st July 2007: No",Maintenance of normal structure and appearance of hair and nails,1
"Exact wording of claim as it appears on product: gelatin, cystine significantly strengthens hair, skin and nails
Examples of any alternative wording that may be used in relation to claim: Gelatin and cystine significantly increases hair diameter and the degree of hardness of finger and toe nails.","Name of Food product: gelatin & cystine

Description of food in terms of food legislation categories: Food supplement

Was food on Irish market before 1st July 2007: No",Maintenance of structure and elasticity of the skin,1
Eye protection factor(s),Lutein/zeaxanthin,maintenance of normal vision,2
"Favorisce il riequilibrio dell’ecosistema intestinale
Clarification provided
- contributes to the rebalancing of intestinal microflora;
- reduces gastro-intestinal discomfort in Irritable Bowel Syndrome;
- reduces gastro-intestinal discomfort in functional disorders of the gut;
- reduces gastro-intestinal symptoms in Irritable Bowel Syndrome, especially in IBS-predominant diarrhea;
- reduces gastro-intestinal symptoms in functional disorders of the gut, especially in IBS-predominant diarrhea.",<em>Lactobacillus paracasei </em> B21060*,Decreasing potentially pathogenic gastro-intestinal microorganisms,1
"Favorisce il riequilibrio dell’ecosistema intestinale
Clarification provided
- contributes to the rebalancing of intestinal microflora;
- reduces gastro-intestinal discomfort in Irritable Bowel Syndrome;
- reduces gastro-intestinal discomfort in functional disorders of the gut;
- reduces gastro-intestinal symptoms in Irritable Bowel Syndrome, especially in IBS-predominant diarrhea;
- reduces gastro-intestinal symptoms in functional disorders of the gut, especially in IBS-predominant diarrhea.",<em>Lactobacillus paracasei </em> B21060*,maintenance of a normal intestinal transit time,1
